ID_Ejercicio;Nombre;Patron;Grupo_Principal;Grupos_Secundarios;Material;Nivel;Unilateral_SN;Es_Basico_SN;Incremento_Kg;Video_URL;Contraindicaciones;Activo_SN
EJ-0036;Jalón con agarre neutro;TRACCION_V;DORSAL;BICEPS;POLEA;1;NO;NO;2.5;;;SI
EJ-0037;Suspensión isométrica en barra;TRACCION_V;ANTEBRAZO;DORSAL;BARRA_DOMINADAS|PESO_CORPORAL;1;NO;NO;;;Dolor de hombro;SI
EJ-0038;Sentadilla trasera con barra;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO|ERECTORES;BARRA|DISCOS|RACK;3;NO;SI;2.5;;"Lumbalgia aguda; dolor femoropatelar agudo";SI
EJ-0039;Sentadilla frontal con barra;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO|CORE;BARRA|DISCOS|RACK;3;NO;SI;2.5;;Limitación de movilidad de muñeca u hombro;SI
EJ-0040;Sentadilla goblet;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO|CORE;MANCUERNAS|KETTLEBELL;1;NO;SI;2;;;SI
EJ-0041;Sentadilla búlgara;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;MANCUERNAS|BANCO;2;SI;SI;2;;Dolor femoropatelar agudo;SI
EJ-0042;Sentadilla en multipower;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;MAQUINA|DISCOS;1;NO;NO;2.5;;;SI
EJ-0043;Sentadilla sin carga;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;PESO_CORPORAL;1;NO;NO;;;;SI
EJ-0044;Sentadilla isométrica en pared;DOMINANTE_RODILLA;CUADRICEPS;;PESO_CORPORAL;1;NO;NO;;;Dolor femoropatelar agudo;SI
EJ-0045;Zancada estática;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;MANCUERNAS|PESO_CORPORAL;1;SI;SI;2;;;SI
EJ-0046;Zancada caminando;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;MANCUERNAS|PESO_CORPORAL;2;SI;NO;2;;Inestabilidad de rodilla;SI
EJ-0047;Zancada inversa;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;MANCUERNAS|PESO_CORPORAL;1;SI;NO;2;;;SI
EJ-0048;Subida al cajón;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;CAJON|MANCUERNAS;1;SI;SI;2;;;SI
EJ-0049;Step down lateral;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;CAJON|PESO_CORPORAL;2;SI;NO;;;Dolor femoropatelar agudo;SI
EJ-0050;Prensa de piernas 45 grados;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;MAQUINA;1;NO;SI;5;;Hernia discal sintomática;SI
EJ-0051;Hack squat en máquina;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO;MAQUINA;2;NO;NO;5;;;SI
EJ-0052;Sentadilla a una pierna asistida;DOMINANTE_RODILLA;CUADRICEPS;GLUTEO|CORE;TRX|PESO_CORPORAL;3;SI;NO;;;Dolor femoropatelar agudo;SI
EJ-0053;Peso muerto convencional;DOMINANTE_CADERA;ISQUIOSURALES;GLUTEO|ERECTORES|DORSAL;BARRA|DISCOS;3;NO;SI;2.5;;"Lumbalgia aguda; hernia discal sintomática";SI
EJ-0054;Peso muerto sumo;DOMINANTE_CADERA;GLUTEO;ISQUIOSURALES|CUADRICEPS;BARRA|DISCOS;3;NO;NO;2.5;;"Lumbalgia aguda; molestias en aductores";SI
EJ-0055;Peso muerto rumano;DOMINANTE_CADERA;ISQUIOSURALES;GLUTEO|ERECTORES;BARRA|DISCOS;2;NO;SI;2.5;;"Lumbalgia aguda; hernia discal sintomática";SI
EJ-0056;Peso muerto rumano a una pierna;DOMINANTE_CADERA;ISQUIOSURALES;GLUTEO|CORE;MANCUERNAS|KETTLEBELL;2;SI;NO;2;;;SI
EJ-0057;Peso muerto con mancuernas;DOMINANTE_CADERA;ISQUIOSURALES;GLUTEO;MANCUERNAS;1;NO;NO;2;;Lumbalgia aguda;SI
EJ-0058;Hip thrust con barra;DOMINANTE_CADERA;GLUTEO;ISQUIOSURALES;BARRA|DISCOS|BANCO;2;NO;SI;2.5;;;SI
EJ-0059;Puente de glúteo;DOMINANTE_CADERA;GLUTEO;ISQUIOSURALES;PESO_CORPORAL|COLCHONETA;1;NO;SI;;;;SI
EJ-0060;Puente de glúteo a una pierna;DOMINANTE_CADERA;GLUTEO;ISQUIOSURALES|CORE;PESO_CORPORAL|COLCHONETA;2;SI;NO;;;;SI
EJ-0061;Good morning;DOMINANTE_CADERA;ISQUIOSURALES;ERECTORES|GLUTEO;BARRA|DISCOS|RACK;3;NO;NO;2.5;;"Lumbalgia; hernia discal sintomática";SI
EJ-0062;Swing con kettlebell;DOMINANTE_CADERA;GLUTEO;ISQUIOSURALES|CORE;KETTLEBELL;2;NO;SI;4;;"Lumbalgia aguda; hipertensión no controlada";SI
EJ-0063;Extensión de cadera en polea;DOMINANTE_CADERA;GLUTEO;ISQUIOSURALES;POLEA;1;SI;NO;2.5;;;SI
EJ-0064;Patada de glúteo en máquina;DOMINANTE_CADERA;GLUTEO;;MAQUINA;1;SI;NO;5;;;SI
EJ-0065;Abducción de cadera con goma;DOMINANTE_CADERA;ABDUCTORES;GLUTEO;GOMA;1;NO;NO;;;;SI
EJ-0066;Plancha frontal;CORE;CORE;DELTOIDES;COLCHONETA|PESO_CORPORAL;1;NO;SI;;;"Dolor de hombro; diástasis abdominal";SI
EJ-0067;Plancha lateral;CORE;CORE;ABDUCTORES;COLCHONETA|PESO_CORPORAL;2;SI;SI;;;Dolor de hombro;SI
EJ-0068;Plancha invertida;CORE;CORE;GLUTEO|ERECTORES;COLCHONETA|PESO_CORPORAL;2;NO;NO;;;"Dolor de hombro; dolor de muñeca";SI
EJ-0069;Hollow hold;CORE;CORE;;COLCHONETA|PESO_CORPORAL;2;NO;NO;;;"Lumbalgia; diástasis abdominal";SI
EJ-0070;Dead bug;CORE;CORE;;COLCHONETA|PESO_CORPORAL;1;NO;SI;;;;SI
EJ-0071;Bird dog;CORE;CORE;ERECTORES|GLUTEO;COLCHONETA|PESO_CORPORAL;1;SI;SI;;;;SI
EJ-0072;Pallof press;CORE;CORE;;POLEA|GOMA;2;SI;SI;2.5;;;SI
EJ-0073;Rueda abdominal;CORE;CORE;DORSAL;RUEDA_ABDOMINAL|PESO_CORPORAL;3;NO;NO;;;"Lumbalgia; hernia discal sintomática; diástasis abdominal";SI
EJ-0074;Elevación de piernas colgado;CORE;CORE;ANTEBRAZO;BARRA_DOMINADAS|PESO_CORPORAL;3;NO;NO;;;Dolor de hombro;SI
EJ-0075;Elevación de rodillas colgado;CORE;CORE;;BARRA_DOMINADAS|PESO_CORPORAL;2;NO;NO;;;;SI
EJ-0076;Crunch en polea alta;CORE;CORE;;POLEA;1;NO;NO;2.5;;Hernia discal sintomática;SI
EJ-0077;Giro ruso;CORE;CORE;;BALON_MEDICINAL|COLCHONETA;2;NO;NO;;;Hernia discal sintomática;SI
EJ-0078;Extensión lumbar en banco;CORE;ERECTORES;GLUTEO|ISQUIOSURALES;BANCO_LUMBAR|PESO_CORPORAL;2;NO;SI;;;Lumbalgia aguda;SI
EJ-0079;Superman;CORE;ERECTORES;GLUTEO;COLCHONETA|PESO_CORPORAL;1;NO;NO;;;;SI
EJ-0080;Paseo del granjero;LOCOMOCION;ANTEBRAZO;CORE|TRAPECIO;MANCUERNAS|KETTLEBELL;1;NO;SI;2;;;SI
EJ-0081;Paseo del maletín;LOCOMOCION;CORE;ANTEBRAZO|ABDUCTORES;MANCUERNAS|KETTLEBELL;2;SI;NO;2;;;SI
EJ-0082;Caminata rápida;LOCOMOCION;CARDIOVASCULAR;;PESO_CORPORAL;1;NO;SI;;;;SI
EJ-0083;Carrera continua;LOCOMOCION;CARDIOVASCULAR;;PESO_CORPORAL;2;NO;SI;;;Dolor articular de miembro inferior en carga;SI
EJ-0084;Carrera en cinta;LOCOMOCION;CARDIOVASCULAR;;CINTA;1;NO;NO;;;Dolor articular de miembro inferior en carga;SI
EJ-0085;Bicicleta estática;LOCOMOCION;CARDIOVASCULAR;CUADRICEPS;BICICLETA;1;NO;SI;;;;SI
EJ-0086;Remo en ergómetro;LOCOMOCION;CARDIOVASCULAR;DORSAL|CUADRICEPS;REMO_ERGOMETRO;2;NO;SI;;;Lumbalgia aguda;SI
EJ-0087;Elíptica;LOCOMOCION;CARDIOVASCULAR;;ELIPTICA;1;NO;NO;;;;SI
EJ-0088;Comba;LOCOMOCION;CARDIOVASCULAR;GEMELOS;COMBA;2;NO;NO;;;Dolor articular de miembro inferior en impacto;SI
EJ-0089;Burpee;LOCOMOCION;CUERPO_COMPLETO;CARDIOVASCULAR;PESO_CORPORAL;3;NO;NO;;;"Dolor de hombro; dolor lumbar; hipertensión no controlada";SI
EJ-0090;Empuje de trineo;LOCOMOCION;CUERPO_COMPLETO;CUADRICEPS|GLUTEO;TRINEO;2;NO;NO;5;;;SI
EJ-0091;Sprint;LOCOMOCION;CARDIOVASCULAR;ISQUIOSURALES;PESO_CORPORAL;3;NO;NO;;;Antecedente reciente de lesión de isquiosurales;SI
EJ-0092;Curl de bíceps con barra;MONOARTICULAR;BICEPS;ANTEBRAZO;BARRA|DISCOS;1;NO;NO;2.5;;Epicondilalgia;SI
EJ-0093;Curl de bíceps con mancuernas;MONOARTICULAR;BICEPS;ANTEBRAZO;MANCUERNAS;1;SI;NO;2;;;SI
EJ-0094;Curl martillo;MONOARTICULAR;BICEPS;ANTEBRAZO;MANCUERNAS;1;SI;NO;2;;;SI
EJ-0095;Curl de bíceps en polea;MONOARTICULAR;BICEPS;;POLEA;1;NO;NO;2.5;;;SI
EJ-0096;Curl concentrado;MONOARTICULAR;BICEPS;;MANCUERNAS|BANCO;1;SI;NO;2;;;SI
EJ-0097;Extensión de tríceps en polea;MONOARTICULAR;TRICEPS;;POLEA;1;NO;NO;2.5;;;SI
EJ-0098;Press francés;MONOARTICULAR;TRICEPS;;BARRA|BANCO;2;NO;NO;2.5;;Dolor de codo;SI
EJ-0099;Patada de tríceps;MONOARTICULAR;TRICEPS;;MANCUERNAS;1;SI;NO;2;;;SI
EJ-0100;Fondos en banco;MONOARTICULAR;TRICEPS;DELTOIDES;BANCO|PESO_CORPORAL;1;NO;NO;;;Dolor de hombro anterior;SI
EJ-0101;Elevaciones laterales;MONOARTICULAR;DELTOIDES;;MANCUERNAS;1;NO;NO;2;;Síndrome subacromial;SI
EJ-0102;Elevaciones frontales;MONOARTICULAR;DELTOIDES;;MANCUERNAS|DISCOS;1;NO;NO;2;;Síndrome subacromial;SI
EJ-0103;Pájaros;MONOARTICULAR;DELTOIDES;TRAPECIO;MANCUERNAS;1;NO;NO;2;;;SI
EJ-0104;Rotación externa de hombro con goma;MONOARTICULAR;DELTOIDES;;GOMA;1;SI;NO;;;;SI
EJ-0105;Encogimientos de hombro;MONOARTICULAR;TRAPECIO;;MANCUERNAS|BARRA;1;NO;NO;2;;;SI
EJ-0106;Extensión de cuádriceps en máquina;MONOARTICULAR;CUADRICEPS;;MAQUINA;1;NO;NO;5;;Dolor femoropatelar agudo;SI
EJ-0107;Curl femoral tumbado;MONOARTICULAR;ISQUIOSURALES;;MAQUINA;1;NO;NO;5;;;SI
EJ-0108;Curl femoral sentado;MONOARTICULAR;ISQUIOSURALES;;MAQUINA;1;NO;NO;5;;;SI
EJ-0109;Curl nórdico;MONOARTICULAR;ISQUIOSURALES;;PESO_CORPORAL|COLCHONETA;3;NO;NO;;;Antecedente reciente de lesión de isquiosurales;SI
EJ-0110;Elevación de gemelos de pie;MONOARTICULAR;GEMELOS;;MANCUERNAS|MAQUINA;1;NO;NO;2;;;SI
EJ-0111;Elevación de gemelos sentado;MONOARTICULAR;GEMELOS;;MAQUINA;1;NO;NO;5;;;SI
EJ-0112;Abducción de cadera en máquina;MONOARTICULAR;ABDUCTORES;GLUTEO;MAQUINA;1;NO;NO;5;;;SI
EJ-0113;Aducción de cadera en máquina;MONOARTICULAR;ADUCTORES;;MAQUINA;1;NO;NO;5;;Molestias en aductores;SI
EJ-0114;Curl de muñeca;MONOARTICULAR;ANTEBRAZO;;MANCUERNAS;1;NO;NO;2;;Dolor de muñeca;SI
EJ-0115;Gato-camello;MOVILIDAD;CORE;ERECTORES;COLCHONETA|PESO_CORPORAL;1;NO;SI;;;;SI
EJ-0116;Rotación torácica en cuadrupedia;MOVILIDAD;CORE;DORSAL;COLCHONETA|PESO_CORPORAL;1;SI;SI;;;;SI
EJ-0117;Estiramiento de psoas en zancada;MOVILIDAD;CUADRICEPS;;COLCHONETA|PESO_CORPORAL;1;SI;SI;;;;SI
EJ-0118;Movilidad de cadera 90/90;MOVILIDAD;GLUTEO;ADUCTORES;COLCHONETA|PESO_CORPORAL;2;SI;NO;;;;SI
EJ-0119;Sentadilla profunda mantenida;MOVILIDAD;CUADRICEPS;ADUCTORES;PESO_CORPORAL;2;NO;NO;;;;SI
EJ-0120;Dislocaciones de hombro con palo;MOVILIDAD;DELTOIDES;TRAPECIO;PALO;1;NO;SI;;;;SI
EJ-0121;Deslizamientos en pared;MOVILIDAD;DELTOIDES;TRAPECIO;PESO_CORPORAL;1;NO;NO;;;;SI
EJ-0122;Movilidad de tobillo rodilla a pared;MOVILIDAD;GEMELOS;;PESO_CORPORAL;1;SI;SI;;;;SI
EJ-0123;Perro boca abajo;MOVILIDAD;ISQUIOSURALES;DORSAL;COLCHONETA|PESO_CORPORAL;1;NO;NO;;;Dolor de hombro;SI
EJ-0124;Estiramiento de isquiosurales tumbado;MOVILIDAD;ISQUIOSURALES;;COLCHONETA|GOMA;1;SI;NO;;;;SI
EJ-0125;Rodillo en dorsal;MOVILIDAD;DORSAL;ERECTORES;RODILLO;1;NO;NO;;;;SI
EJ-0126;Rodillo en cuádriceps;MOVILIDAD;CUADRICEPS;;RODILLO;1;SI;NO;;;;SI
EJ-0127;Círculos de brazos;MOVILIDAD;DELTOIDES;;PESO_CORPORAL;1;NO;NO;;;;SI
