ID_Protocolo;ID_Test;Orden;Obligatorio_SN;Notas_Protocolo
PRO-MAY;PESO;1;SI;
PRO-MAY;ALTURA;2;SI;
PRO-MAY;IMC;3;NO;
PRO-MAY;GRASA_PCT;4;NO;
PRO-MAY;PERIM_CINTURA;5;SI;
PRO-MAY;PERIM_CADERA;6;NO;
PRO-MAY;ICC;7;NO;
PRO-MAY;ICA;8;NO;
PRO-MAY;DINAMOMETRIA;9;SI;
PRO-MAY;STS_30;10;SI;
PRO-MAY;STS_5;11;NO;
PRO-MAY;SENTADILLA_TEC;12;NO;
PRO-MAY;ZANCADA_TEC;13;NO;
PRO-MAY;PLANCHA_FRONTAL;14;NO;
PRO-MAY;SIT_AND_REACH;15;NO;
PRO-MAY;SCRATCH;16;NO;
PRO-MAY;DORSIFLEXION;17;NO;
PRO-MAY;MONOPODAL;18;SI;
PRO-REI;PESO;1;NO;
PRO-REI;ALTURA;2;NO;
PRO-REI;PERIM_CINTURA;3;NO;
PRO-REI;SENTADILLA_TEC;4;SI;
PRO-REI;ZANCADA_TEC;5;SI;
PRO-REI;STEP_DOWN_TEC;6;SI;
PRO-REI;DINAMOMETRIA;7;NO;
PRO-REI;STS_5;8;NO;
PRO-REI;PLANCHA_LATERAL;9;NO;
PRO-REI;SORENSEN;10;NO;
PRO-REI;SIT_AND_REACH;11;NO;
PRO-REI;SCRATCH;12;NO;
PRO-REI;DORSIFLEXION;13;NO;
PRO-REI;MONOPODAL;14;NO;
PRO-REN;PESO;1;SI;
PRO-REN;ALTURA;2;SI;
PRO-REN;IMC;3;NO;
PRO-REN;GRASA_PCT;4;NO;
PRO-REN;PERIM_CINTURA;5;NO;
PRO-REN;PERIM_CADERA;6;NO;
PRO-REN;ICC;7;NO;
PRO-REN;ICA;8;NO;
PRO-REN;PERIM_ABDOMEN;9;NO;
PRO-REN;PERIM_BRAZO;10;NO;
PRO-REN;PERIM_MUSLO;11;NO;
PRO-REN;DINAMOMETRIA;12;SI;
PRO-REN;DOMINADA;13;NO;
PRO-REN;DEAD_HANG;14;NO;
PRO-REN;SENTADILLA_TEC;15;SI;
PRO-REN;ZANCADA_TEC;16;NO;
PRO-REN;STEP_DOWN_TEC;17;NO;
PRO-REN;PLANCHA_FRONTAL;18;NO;
PRO-REN;PLANCHA_LATERAL;19;NO;
PRO-REN;PLANCHA_INVERTIDA;20;NO;
PRO-REN;SORENSEN;21;NO;
PRO-REN;FLEXORES_TRONCO;22;NO;
PRO-REN;SALTO_VERTICAL;23;SI;
PRO-REN;SALTO_HORIZONTAL;24;NO;
PRO-REN;NAVETTE_VEL;25;NO;
PRO-REN;VO2MAX;26;NO;
PRO-REN;HARVARD_DUR;27;NO;
PRO-REN;HARVARD_P1;28;NO;
PRO-REN;HARVARD_P2;29;NO;
PRO-REN;HARVARD_P3;30;NO;
PRO-REN;HARVARD_IF;31;NO;
PRO-REN;SIT_AND_REACH;32;NO;
PRO-REN;SCRATCH;33;NO;
PRO-REN;DORSIFLEXION;34;NO;
PRO-REN;MONOPODAL;35;NO;
PRO-RAP;PESO;1;SI;
PRO-RAP;PERIM_CINTURA;2;SI;
PRO-RAP;GRASA_PCT;3;NO;
PRO-RAP;ICA;4;NO;
PRO-RAP;DINAMOMETRIA;5;NO;
PRO-RAP;STS_5;6;NO;
PRO-RAP;PLANCHA_FRONTAL;7;NO;
PRO-RAP;SIT_AND_REACH;8;NO;
