ID_Test;Sexo;Edad_Min;Edad_Max;Valor_Min;Valor_Max;Categoria;Puntuacion;Fuente;Solidez
ICC;H;0;120;0.9;9999;RIESGO;35;OMS;ALTA
ICC;M;0;120;0;0.849;NORMAL;100;OMS;ALTA
ICC;M;0;120;0.85;9999;RIESGO;35;OMS;ALTA
ICA;AMBOS;0;120;0;0.499;NORMAL;100;OMS;ALTA
ICA;AMBOS;0;120;0.5;9999;RIESGO;35;OMS;ALTA
DINAMOMETRIA;H;20;29;0;40.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;20;29;41;54;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;20;29;54.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;30;39;0;41.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;30;39;42;56;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;30;39;56.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;40;49;0;39.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;40;49;40;54;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;40;49;54.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;50;59;0;35.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;50;59;36;50;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;50;59;50.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;60;69;0;30.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;60;69;31;45;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;60;69;45.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;70;120;0;25.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;70;120;26;39;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;H;70;120;39.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;20;29;0;23.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;20;29;24;34;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;20;29;34.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;30;39;0;24.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;30;39;25;35;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;30;39;35.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;40;49;0;23.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;40;49;24;34;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;40;49;34.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;50;59;0;20.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;50;59;21;31;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;50;59;31.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;60;69;0;17.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;60;69;18;28;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;60;69;28.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;70;120;0;14.99;BAJO;30;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;70;120;15;24;MEDIO;65;Tablas de uso habitual;MEDIA
DINAMOMETRIA;M;70;120;24.01;9999;ALTO;100;Tablas de uso habitual;MEDIA
STS_30;H;60;64;0;13;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;H;60;64;14;19;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;H;60;64;20;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;H;65;69;0;11;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;H;65;69;12;18;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;H;65;69;19;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;H;70;74;0;11;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;H;70;74;12;17;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;H;70;74;18;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;H;75;79;0;10;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;H;75;79;11;17;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;H;75;79;18;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;H;80;84;0;9;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;H;80;84;10;15;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;H;80;84;16;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;H;85;89;0;7;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;H;85;89;8;14;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;H;85;89;15;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;H;90;120;0;6;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;H;90;120;7;12;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;H;90;120;13;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;M;60;64;0;11;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;M;60;64;12;17;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;M;60;64;18;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;M;65;69;0;10;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;M;65;69;11;16;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;M;65;69;17;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;M;70;74;0;9;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;M;70;74;10;15;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;M;70;74;16;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;M;75;79;0;9;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;M;75;79;10;15;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;M;75;79;16;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;M;80;84;0;8;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;M;80;84;9;14;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;M;80;84;15;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;M;85;89;0;7;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;M;85;89;8;13;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;M;85;89;14;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;M;90;120;0;3;POR_DEBAJO;30;Senior Fitness Test;MEDIA
STS_30;M;90;120;4;11;NORMAL;75;Senior Fitness Test;MEDIA
STS_30;M;90;120;12;9999;POR_ENCIMA;100;Senior Fitness Test;MEDIA
STS_30;H;0;59;0;16;BAJO;30;Orientativo;BAJA
STS_30;H;0;59;17;25;MEDIO;65;Orientativo;BAJA
STS_30;H;0;59;26;9999;ALTO;100;Orientativo;BAJA
STS_30;M;0;59;0;14;BAJO;30;Orientativo;BAJA
STS_30;M;0;59;15;22;MEDIO;65;Orientativo;BAJA
STS_30;M;0;59;23;9999;ALTO;100;Orientativo;BAJA
STS_5;AMBOS;0;120;0;7.99;MUY_BUENO;100;Puntos de corte clínicos;MEDIA
STS_5;AMBOS;0;120;8;9.99;BUENO;85;Puntos de corte clínicos;MEDIA
STS_5;AMBOS;0;120;10;11.99;NORMAL;65;Puntos de corte clínicos;MEDIA
STS_5;AMBOS;0;120;12;14.99;RIESGO_CAIDA;35;Puntos de corte clínicos;MEDIA
STS_5;AMBOS;0;120;15;9999;FRAGILIDAD;15;Puntos de corte clínicos;MEDIA
DOMINADA;H;0;120;0;0;INSUFICIENTE;10;Orientativo;BAJA
DOMINADA;H;0;120;1;3;BAJO;35;Orientativo;BAJA
DOMINADA;H;0;120;4;8;MEDIO;65;Orientativo;BAJA
DOMINADA;H;0;120;9;13;ALTO;85;Orientativo;BAJA
DOMINADA;H;0;120;14;9999;MUY_ALTO;100;Orientativo;BAJA
DOMINADA;M;0;120;0;0;INSUFICIENTE;20;Orientativo;BAJA
DOMINADA;M;0;120;1;2;MEDIO;65;Orientativo;BAJA
DOMINADA;M;0;120;3;5;ALTO;85;Orientativo;BAJA
DOMINADA;M;0;120;6;9999;MUY_ALTO;100;Orientativo;BAJA
DEAD_HANG;H;0;120;0;19.9;BAJO;30;Orientativo;BAJA
DEAD_HANG;H;0;120;20;45;MEDIO;65;Orientativo;BAJA
DEAD_HANG;H;0;120;45.1;75;ALTO;85;Orientativo;BAJA
DEAD_HANG;H;0;120;75.1;9999;MUY_ALTO;100;Orientativo;BAJA
DEAD_HANG;M;0;120;0;14.9;BAJO;30;Orientativo;BAJA
DEAD_HANG;M;0;120;15;35;MEDIO;65;Orientativo;BAJA
DEAD_HANG;M;0;120;35.1;60;ALTO;85;Orientativo;BAJA
DEAD_HANG;M;0;120;60.1;9999;MUY_ALTO;100;Orientativo;BAJA
PLANCHA_FRONTAL;H;0;120;0;59;BAJO;35;Orientativo;BAJA
PLANCHA_FRONTAL;H;0;120;60;120;ACEPTABLE;70;Orientativo;BAJA
PLANCHA_FRONTAL;H;0;120;121;9999;BUENO;100;Orientativo;BAJA
PLANCHA_FRONTAL;M;0;120;0;44;BAJO;35;Orientativo;BAJA
PLANCHA_FRONTAL;M;0;120;45;90;ACEPTABLE;70;Orientativo;BAJA
PLANCHA_FRONTAL;M;0;120;91;9999;BUENO;100;Orientativo;BAJA
PLANCHA_LATERAL;H;0;120;0;59;BAJO;35;McGill;MEDIA
PLANCHA_LATERAL;H;0;120;60;95;MEDIO;70;McGill;MEDIA
PLANCHA_LATERAL;H;0;120;96;9999;BUENO;100;McGill;MEDIA
PLANCHA_LATERAL;M;0;120;0;44;BAJO;35;McGill;MEDIA
PLANCHA_LATERAL;M;0;120;45;75;MEDIO;70;McGill;MEDIA
PLANCHA_LATERAL;M;0;120;76;9999;BUENO;100;McGill;MEDIA
SORENSEN;H;0;120;0;89;BAJO;35;McGill;MEDIA
SORENSEN;H;0;120;90;145;MEDIO;70;McGill;MEDIA
SORENSEN;H;0;120;146;9999;BUENO;100;McGill;MEDIA
SORENSEN;M;0;120;0;119;BAJO;35;McGill;MEDIA
SORENSEN;M;0;120;120;190;MEDIO;70;McGill;MEDIA
SORENSEN;M;0;120;191;9999;BUENO;100;McGill;MEDIA
FLEXORES_TRONCO;AMBOS;0;120;0;89;BAJO;35;McGill;MEDIA
FLEXORES_TRONCO;AMBOS;0;120;90;135;MEDIO;70;McGill;MEDIA
FLEXORES_TRONCO;AMBOS;0;120;136;9999;BUENO;100;McGill;MEDIA
SENTADILLA_TEC;AMBOS;0;120;0;0;DOLOR;0;Escala de técnica de ZEU;ALTA
SENTADILLA_TEC;AMBOS;0;120;1;1;DEFICIENTE;33;Escala de técnica de ZEU;ALTA
SENTADILLA_TEC;AMBOS;0;120;2;2;ACEPTABLE;66;Escala de técnica de ZEU;ALTA
SENTADILLA_TEC;AMBOS;0;120;3;3;CORRECTA;100;Escala de técnica de ZEU;ALTA
ZANCADA_TEC;AMBOS;0;120;0;0;DOLOR;0;Escala de técnica de ZEU;ALTA
ZANCADA_TEC;AMBOS;0;120;1;1;DEFICIENTE;33;Escala de técnica de ZEU;ALTA
ZANCADA_TEC;AMBOS;0;120;2;2;ACEPTABLE;66;Escala de técnica de ZEU;ALTA
ZANCADA_TEC;AMBOS;0;120;3;3;CORRECTA;100;Escala de técnica de ZEU;ALTA
STEP_DOWN_TEC;AMBOS;0;120;0;0;DOLOR;0;Escala de técnica de ZEU;ALTA
STEP_DOWN_TEC;AMBOS;0;120;1;1;DEFICIENTE;33;Escala de técnica de ZEU;ALTA
STEP_DOWN_TEC;AMBOS;0;120;2;2;ACEPTABLE;66;Escala de técnica de ZEU;ALTA
STEP_DOWN_TEC;AMBOS;0;120;3;3;CORRECTA;100;Escala de técnica de ZEU;ALTA
SALTO_VERTICAL;H;20;29;0;39.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;H;20;29;40;54;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;H;20;29;54.1;9999;ALTO;100;Orientativo;BAJA
SALTO_VERTICAL;H;30;39;0;34.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;H;30;39;35;49;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;H;30;39;49.1;9999;ALTO;100;Orientativo;BAJA
SALTO_VERTICAL;H;40;49;0;29.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;H;40;49;30;43;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;H;40;49;43.1;9999;ALTO;100;Orientativo;BAJA
SALTO_VERTICAL;H;50;59;0;24.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;H;50;59;25;37;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;H;50;59;37.1;9999;ALTO;100;Orientativo;BAJA
SALTO_VERTICAL;H;60;120;0;19.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;H;60;120;20;30;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;H;60;120;30.1;9999;ALTO;100;Orientativo;BAJA
SALTO_VERTICAL;M;20;29;0;24.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;M;20;29;25;37;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;M;20;29;37.1;9999;ALTO;100;Orientativo;BAJA
SALTO_VERTICAL;M;30;39;0;21.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;M;30;39;22;33;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;M;30;39;33.1;9999;ALTO;100;Orientativo;BAJA
SALTO_VERTICAL;M;40;49;0;18.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;M;40;49;19;29;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;M;40;49;29.1;9999;ALTO;100;Orientativo;BAJA
SALTO_VERTICAL;M;50;59;0;15.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;M;50;59;16;25;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;M;50;59;25.1;9999;ALTO;100;Orientativo;BAJA
SALTO_VERTICAL;M;60;120;0;11.9;BAJO;30;Orientativo;BAJA
SALTO_VERTICAL;M;60;120;12;20;MEDIO;65;Orientativo;BAJA
SALTO_VERTICAL;M;60;120;20.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;H;20;29;0;189.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;H;20;29;190;230;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;H;20;29;230.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;H;30;39;0;174.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;H;30;39;175;215;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;H;30;39;215.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;H;40;49;0;159.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;H;40;49;160;200;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;H;40;49;200.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;H;50;59;0;144.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;H;50;59;145;180;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;H;50;59;180.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;H;60;120;0;124.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;H;60;120;125;160;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;H;60;120;160.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;M;20;29;0;139.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;M;20;29;140;175;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;M;20;29;175.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;M;30;39;0;129.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;M;30;39;130;165;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;M;30;39;165.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;M;40;49;0;119.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;M;40;49;120;150;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;M;40;49;150.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;M;50;59;0;104.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;M;50;59;105;135;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;M;50;59;135.1;9999;ALTO;100;Orientativo;BAJA
SALTO_HORIZONTAL;M;60;120;0;89.9;BAJO;30;Orientativo;BAJA
SALTO_HORIZONTAL;M;60;120;90;115;MEDIO;65;Orientativo;BAJA
SALTO_HORIZONTAL;M;60;120;115.1;9999;ALTO;100;Orientativo;BAJA
VO2MAX;H;20;29;0;32.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;H;20;29;33;36.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;H;20;29;37;41.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;H;20;29;42;45.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;H;20;29;46;52;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;H;20;29;52.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
VO2MAX;H;30;39;0;30.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;H;30;39;31;34.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;H;30;39;35;38.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;H;30;39;39;42.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;H;30;39;43;49;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;H;30;39;49.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
VO2MAX;H;40;49;0;29.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;H;40;49;30;32.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;H;40;49;33;36.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;H;40;49;37;40.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;H;40;49;41;45;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;H;40;49;45.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
VO2MAX;H;50;59;0;25.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;H;50;59;26;30.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;H;50;59;31;34.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;H;50;59;35;38.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;H;50;59;39;42;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;H;50;59;42.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
VO2MAX;H;60;120;0;19.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;H;60;120;20;25.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;H;60;120;26;31.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;H;60;120;32;35.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;H;60;120;36;40;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;H;60;120;40.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
VO2MAX;M;20;29;0;23.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;M;20;29;24;27.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;M;20;29;28;32.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;M;20;29;33;36.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;M;20;29;37;41;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;M;20;29;41.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
VO2MAX;M;30;39;0;19.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;M;30;39;20;23.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;M;30;39;24;28.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;M;30;39;29;32.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;M;30;39;33;37;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;M;30;39;37.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
VO2MAX;M;40;49;0;16.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;M;40;49;17;21.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;M;40;49;22;24.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;M;40;49;25;29.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;M;40;49;30;35;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;M;40;49;35.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
VO2MAX;M;50;59;0;14.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;M;50;59;15;19.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;M;50;59;20;22.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;M;50;59;23;27.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;M;50;59;28;31;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;M;50;59;31.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
VO2MAX;M;60;120;0;12.9;MUY_BAJO;10;Cooper Institute / ACSM;MEDIA
VO2MAX;M;60;120;13;17.9;BAJO;30;Cooper Institute / ACSM;MEDIA
VO2MAX;M;60;120;18;20.9;MEDIO;50;Cooper Institute / ACSM;MEDIA
VO2MAX;M;60;120;21;24.9;BUENO;70;Cooper Institute / ACSM;MEDIA
VO2MAX;M;60;120;25;30;EXCELENTE;85;Cooper Institute / ACSM;MEDIA
VO2MAX;M;60;120;30.1;9999;SUPERIOR;100;Cooper Institute / ACSM;MEDIA
HARVARD_IF;AMBOS;0;120;0;54.9;DEFICIENTE;10;Brouha;MEDIA
HARVARD_IF;AMBOS;0;120;55;64.9;BAJO;30;Brouha;MEDIA
HARVARD_IF;AMBOS;0;120;65;79.9;MEDIO;50;Brouha;MEDIA
HARVARD_IF;AMBOS;0;120;80;89.9;BUENO;75;Brouha;MEDIA
HARVARD_IF;AMBOS;0;120;90;9999;EXCELENTE;100;Brouha;MEDIA
SIT_AND_REACH;H;20;29;-99;-5.1;BAJO;30;ACSM;MEDIA
SIT_AND_REACH;H;20;29;-5;7;MEDIO;65;ACSM;MEDIA
SIT_AND_REACH;H;20;29;7.1;9999;ALTO;100;ACSM;MEDIA
SIT_AND_REACH;H;30;39;-99;-6.1;BAJO;30;ACSM;MEDIA
SIT_AND_REACH;H;30;39;-6;6;MEDIO;65;ACSM;MEDIA
SIT_AND_REACH;H;30;39;6.1;9999;ALTO;100;ACSM;MEDIA
SIT_AND_REACH;H;40;49;-99;-8.1;BAJO;30;ACSM;MEDIA
SIT_AND_REACH;H;40;49;-8;4;MEDIO;65;ACSM;MEDIA
SIT_AND_REACH;H;40;49;4.1;9999;ALTO;100;ACSM;MEDIA
SIT_AND_REACH;H;50;59;-99;-10.1;BAJO;30;ACSM;MEDIA
SIT_AND_REACH;H;50;59;-10;2;MEDIO;65;ACSM;MEDIA
SIT_AND_REACH;H;50;59;2.1;9999;ALTO;100;ACSM;MEDIA
SIT_AND_REACH;H;60;120;-99;-12.1;BAJO;30;ACSM;MEDIA
SIT_AND_REACH;H;60;120;-12;0;MEDIO;65;ACSM;MEDIA
SIT_AND_REACH;H;60;120;0.1;9999;ALTO;100;ACSM;MEDIA
SIT_AND_REACH;M;20;29;-99;-2.1;BAJO;30;ACSM;MEDIA
SIT_AND_REACH;M;20;29;-2;10;MEDIO;65;ACSM;MEDIA
SIT_AND_REACH;M;20;29;10.1;9999;ALTO;100;ACSM;MEDIA
SIT_AND_REACH;M;30;39;-99;-3.1;BAJO;30;ACSM;MEDIA
SIT_AND_REACH;M;30;39;-3;9;MEDIO;65;ACSM;MEDIA
SIT_AND_REACH;M;30;39;9.1;9999;ALTO;100;ACSM;MEDIA
SIT_AND_REACH;M;40;49;-99;-4.1;BAJO;30;ACSM;MEDIA
SIT_AND_REACH;M;40;49;-4;8;MEDIO;65;ACSM;MEDIA
SIT_AND_REACH;M;40;49;8.1;9999;ALTO;100;ACSM;MEDIA
SIT_AND_REACH;M;50;59;-99;-5.1;BAJO;30;ACSM;MEDIA
